effective,change,symbol,company,source
2025-03-28,exclude,KSB,KSB Ltd.,ind_prs21022025
2025-03-28,exclude,MAHLIFE,Mahindra Lifespace Developers Ltd.,ind_prs21022025
2025-03-28,exclude,METROBRAND,Metro Brands Ltd.,ind_prs21022025
2025-03-28,exclude,NUVOCO,Nuvoco Vistas Corporation Ltd.,ind_prs21022025
2025-03-28,exclude,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,ind_prs21022025
2025-03-28,exclude,RAJESHEXPO,Rajesh Exports Ltd.,ind_prs21022025
2025-03-28,exclude,RATNAMANI,Ratnamani Metals & Tubes Ltd.,ind_prs21022025
2025-03-28,exclude,SANOFI,Sanofi India Ltd.,ind_prs21022025
2025-03-28,exclude,SPARC,Sun Pharma Advanced Research Company Ltd.,ind_prs21022025
2025-03-28,exclude,SUNDRMFAST,Sundram Fasteners Ltd.,ind_prs21022025
2025-03-28,exclude,TVSSCS,TVS Supply Chain Solutions Ltd.,ind_prs21022025
2025-03-28,exclude,UJJIVANSFB,Ujjivan Small Finance Bank Ltd.,ind_prs21022025
2025-03-28,exclude,VIPIND,V.I.P. Industries Ltd.,ind_prs21022025
2025-03-28,exclude,VARROC,Varroc Engineering Ltd.,ind_prs21022025
2025-03-28,exclude,VINATIORGA,Vinati Organics Ltd.,ind_prs21022025
2025-03-28,include,ACMESOLAR,ACME Solar Holdings Ltd.,ind_prs21022025
2025-03-28,include,AFCONS,Afcons Infrastructure Ltd.,ind_prs21022025
2025-03-28,include,ALIVUS,Alivus Life Sciences Ltd.,ind_prs21022025
2025-03-28,include,AIIL,Authum Investment & Infrastructure Ltd.,ind_prs21022025
2025-03-28,include,BAJAJHFL,Bajaj Housing Finance Ltd.,ind_prs21022025
2025-03-28,include,FIRSTCRY,Brainbees Solutions Ltd.,ind_prs21022025
2025-03-28,include,DCMSHRIRAM,DCM Shriram Ltd.,ind_prs21022025
2025-03-28,include,GRAVITA,Gravita India Ltd.,ind_prs21022025
2025-03-28,include,HYUNDAI,Hyundai Motor India Ltd.,ind_prs21022025
2025-03-28,include,IGIL,International Gemmological Institute (India) Ltd.,ind_prs21022025
2025-03-28,include,IKS,Inventurus Knowledge Solutions Ltd.,ind_prs21022025
2025-03-28,include,JSWHL,JSW Holdings Ltd.,ind_prs21022025
2025-03-28,include,LTFOODS,LT Foods Ltd.,ind_prs21022025
2025-03-28,include,NAVA,Nava Ltd.,ind_prs21022025
2025-03-28,include,NEULANDLAB,Neuland Laboratories Ltd.,ind_prs21022025
2025-03-28,include,NIVABUPA,Niva Bupa Health Insurance Company Ltd.,ind_prs21022025
2025-03-28,include,NTPCGREEN,NTPC Green Energy Ltd.,ind_prs21022025
2025-03-28,include,OLAELEC,Ola Electric Mobility Ltd.,ind_prs21022025
2025-03-28,include,PGEL,PG Electroplast Ltd.,ind_prs21022025
2025-03-28,include,PREMIERENE,Premier Energies Ltd.,ind_prs21022025
2025-03-28,include,RPOWER,Reliance Power Ltd.,ind_prs21022025
2025-03-28,include,SAGILITY,Sagility India Ltd.,ind_prs21022025
2025-03-28,include,SAILIFE,Sai Life Sciences Ltd.,ind_prs21022025
2025-03-28,include,SARDAEN,Sarda Energy and Minerals Ltd.,ind_prs21022025
2025-03-28,include,SWIGGY,Swiggy Ltd.,ind_prs21022025
2025-03-28,include,TARIL,Transformers And Rectifiers (India) Ltd.,ind_prs21022025
2025-03-28,include,VMM,Vishal Mega Mart Ltd.,ind_prs21022025
2025-03-28,include,WAAREEENER,Waaree Energies Ltd.,ind_prs21022025
2025-03-28,include,WOCKPHARMA,Wockhardt Ltd.,ind_prs21022025
2025-03-28,include,ZENTEC,Zen Technologies Ltd.,ind_prs21022025
2025-04-11,exclude,QUESS,Quess Corp Ltd.,ind_prs04042025_2
2025-04-11,include,SUNDRMFAST,Sundram Fasteners Ltd.,ind_prs04042025_2
2025-09-23,exclude,PEL,Piramal Enterprises Ltd.,ind_prs15092025_1
2025-09-23,include,RELINFRA,Reliance Infrastructure Ltd.,ind_prs15092025_1
2025-09-30,exclude,ALIVUS,Alivus Life Sciences Ltd.,ind_prs22082025
2025-09-30,exclude,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,ind_prs22082025
2025-09-30,exclude,GPPL,Gujarat Pipavav Port Ltd.,ind_prs22082025
2025-09-30,exclude,JSWHL,JSW Holdings Ltd.,ind_prs22082025
2025-09-30,exclude,JUSTDIAL,Justdial Ltd.,ind_prs22082025
2025-09-30,exclude,KANSAINER,Kansai Nerolac Paints Ltd.,ind_prs22082025
2025-09-30,exclude,KNRCON,KNR Constructions Ltd.,ind_prs22082025
2025-09-30,exclude,MASTEK,Mastek Ltd.,ind_prs22082025
2025-09-30,exclude,NETWORK18,Network18 Media & Investments Ltd.,ind_prs22082025
2025-09-30,exclude,PNCINFRA,PNC Infratech Ltd.,ind_prs22082025
2025-09-30,exclude,RTNINDIA,RattanIndia Enterprises Ltd.,ind_prs22082025
2025-09-30,exclude,RAYMONDLSL,Raymond Lifestyle Ltd.,ind_prs22082025
2025-09-30,exclude,RAYMOND,Raymond Ltd.,ind_prs22082025
2025-09-30,exclude,ROUTE,Route Mobile Ltd.,ind_prs22082025
2025-09-30,exclude,RENUKA,Shree Renuka Sugars Ltd.,ind_prs22082025
2025-09-30,exclude,SWSOLAR,Sterling and Wilson Renewable Energy Ltd.,ind_prs22082025
2025-09-30,exclude,TANLA,Tanla Platforms Ltd.,ind_prs22082025
2025-09-30,exclude,WESTLIFE,Westlife Foodworld Ltd.,ind_prs22082025
2025-09-30,include,ABLBL,Aditya Birla Lifestyle Brands Ltd.,ind_prs22082025
2025-09-30,include,AEGISVOPAK,Aegis Vopak Terminals Ltd.,ind_prs22082025
2025-09-30,include,JSWDULUX,Akzo Nobel India Ltd.,ind_prs22082025
2025-09-30,include,ATHERENERG,Ather Energy Ltd.,ind_prs22082025
2025-09-30,include,BLUEJET,Blue Jet Healthcare Ltd.,ind_prs22082025
2025-09-30,include,CHOICEIN,Choice International Ltd.,ind_prs22082025
2025-09-30,include,AGARWALEYE,Dr. Agarwal's Health Care Ltd.,ind_prs22082025
2025-09-30,include,FORCEMOT,Force Motors Ltd.,ind_prs22082025
2025-09-30,include,HEXT,Hexaware Technologies Ltd.,ind_prs22082025
2025-09-30,include,ITCHOTELS,ITC Hotels Ltd.,ind_prs22082025
2025-09-30,include,KSB,KSB Ltd.,ind_prs22082025
2025-09-30,include,MAHSCOOTER,Maharashtra Scooters Ltd.,ind_prs22082025
2025-09-30,include,NUVOCO,Nuvoco Vistas Corporation Ltd.,ind_prs22082025
2025-09-30,include,ONESOURCE,Onesource Specialty Pharma Ltd.,ind_prs22082025
2025-09-30,include,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,ind_prs22082025
2025-09-30,include,THELEELA,Schloss Bangalore Ltd.,ind_prs22082025
2025-09-30,include,ENRIN,Siemens Energy India Ltd.,ind_prs22082025
2025-09-30,include,VENTIVE,Ventive Hospitality Ltd.,ind_prs22082025
2025-12-31,exclude,SKFINDIA,SKF India Ltd.,ind_prs11122025
2025-12-31,include,JSWCEMENT,JSW Cement Ltd.,ind_prs11122025
2026-03-30,exclude,AKUMS,Akums Drugs and Pharmaceuticals Ltd.,ind_prs23022026
2026-03-30,exclude,APLLTD,Alembic Pharmaceuticals Ltd.,ind_prs23022026
2026-03-30,exclude,ALKYLAMINE,Alkyl Amines Chemicals Ltd.,ind_prs23022026
2026-03-30,exclude,ALOKINDS,Alok Industries Ltd.,ind_prs23022026
2026-03-30,exclude,ASTRAZEN,AstraZenca Pharma India Ltd.,ind_prs23022026
2026-03-30,exclude,BASF,BASF India Ltd.,ind_prs23022026
2026-03-30,exclude,CAMPUS,Campus Activewear Ltd.,ind_prs23022026
2026-03-30,exclude,CENTURYPLY,Century Plyboards (India) Ltd.,ind_prs23022026
2026-03-30,exclude,CERA,Cera Sanitaryware Ltd,ind_prs23022026
2026-03-30,exclude,AGARWALEYE,Dr. Agarwal's Health Care Ltd.,ind_prs23022026
2026-03-30,exclude,FINPIPE,Finolex Industries Ltd.,ind_prs23022026
2026-03-30,exclude,GODREJAGRO,Godrej Agrovet Ltd.,ind_prs23022026
2026-03-30,exclude,GUJGASLTD,Gujarat Gas Ltd.,ind_prs23022026
2026-03-30,exclude,HAPPSTMNDS,Happiest Minds Technologies Ltd.,ind_prs23022026
2026-03-30,exclude,INOXINDIA,INOX India Ltd.,ind_prs23022026
2026-03-30,exclude,JYOTHYLAB,Jyothy Labs Ltd.,ind_prs23022026
2026-03-30,exclude,KIRLOSBROS,Kirloskar Brothers Ltd.,ind_prs23022026
2026-03-30,exclude,KSB,KSB Ltd.,ind_prs23022026
2026-03-30,exclude,MAHSCOOTER,Maharashtra Scooters Ltd.,ind_prs23022026
2026-03-30,exclude,MAHSEAMLES,Maharashtra Seamless Ltd.,ind_prs23022026
2026-03-30,exclude,METROPOLIS,Metropolis Healthcare Ltd.,ind_prs23022026
2026-03-30,exclude,PRAJIND,Praj Industries Ltd.,ind_prs23022026
2026-03-30,exclude,PGHH,Procter & Gamble Hygiene & Health Care Ltd.,ind_prs23022026
2026-03-30,exclude,RCF,Rashtriya Chemicals & Fertilizers Ltd.,ind_prs23022026
2026-03-30,exclude,RELINFRA,Reliance Infrastructure Ltd.,ind_prs23022026
2026-03-30,exclude,SUNDRMFAST,Sundram Fasteners Ltd.,ind_prs23022026
2026-03-30,exclude,TRIVENI,Triveni Engineering & Industries Ltd.,ind_prs23022026
2026-03-30,exclude,DBREALTY,Valor Estate Ltd.,ind_prs23022026
2026-03-30,exclude,MANYAVAR,Vedant Fashions Ltd.,ind_prs23022026
2026-03-30,exclude,VENTIVE,Ventive Hospitality Ltd.,ind_prs23022026
2026-03-30,exclude,VGUARD,V-Guard Industries Ltd.,ind_prs23022026
2026-03-30,include,ACUTAAS,Acutaas Chemicals Ltd.,ind_prs23022026
2026-03-30,include,CPPLUS,Aditya Infotech Ltd.,ind_prs23022026
2026-03-30,include,ABDL,Allied Blenders and Distillers Ltd.,ind_prs23022026
2026-03-30,include,ANTHEM,Anthem Biosciences Ltd.,ind_prs23022026
2026-03-30,include,ANURAS,Anupam Rasayan India Ltd.,ind_prs23022026
2026-03-30,include,BELRISE,Belrise Industries Ltd.,ind_prs23022026
2026-03-30,include,GROWW,Billionbrains Garage Ventures Ltd.,ind_prs23022026
2026-03-30,include,CANHLIFE,Canara HSBC Life Insurance Company Ltd.,ind_prs23022026
2026-03-30,include,CARTRADE,Cartrade Tech Ltd.,ind_prs23022026
2026-03-30,include,CEMPRO,Cemindia Projects Ltd.,ind_prs23022026
2026-03-30,include,EMMVEE,Emmvee Photovoltaic Power Ltd.,ind_prs23022026
2026-03-30,include,GABRIEL,Gabriel India Ltd.,ind_prs23022026
2026-03-30,include,GALLANTT,Gallantt Ispat Ltd.,ind_prs23022026
2026-03-30,include,HDBFS,HDB Financial Services Ltd.,ind_prs23022026
2026-03-30,include,ICICIAMC,ICICI Prudential Asset Management Company Ltd.,ind_prs23022026
2026-03-30,include,JAINREC,Jain Resource Recycling Ltd.,ind_prs23022026
2026-03-30,include,LENSKART,Lenskart Solutions Ltd.,ind_prs23022026
2026-03-30,include,LGEINDIA,LG Electronics India Ltd.,ind_prs23022026
2026-03-30,include,MEESHO,Meesho Ltd.,ind_prs23022026
2026-03-30,include,PARADEEP,Paradeep Phosphates Ltd.,ind_prs23022026
2026-03-30,include,PWL,Physicswallah Ltd.,ind_prs23022026
2026-03-30,include,PINELABS,Pine Labs Ltd.,ind_prs23022026
2026-03-30,include,PIRAMALFIN,Piramal Finance Ltd.,ind_prs23022026
2026-03-30,include,SPLPETRO,Supreme Petrochem Ltd.,ind_prs23022026
2026-03-30,include,TATACAP,Tata Capital Ltd.,ind_prs23022026
2026-03-30,include,TMCV,Tata Motors Ltd.,ind_prs23022026
2026-03-30,include,TEGA,Tega Industries Ltd.,ind_prs23022026
2026-03-30,include,TENNIND,Tenneco Clean Air India Ltd.,ind_prs23022026
2026-03-30,include,TRAVELFOOD,Travel Food Services Ltd.,ind_prs23022026
2026-03-30,include,URBANCO,Urban Company Ltd.,ind_prs23022026
2026-03-30,include,ZYDUSWELL,Zydus Wellness Ltd.,ind_prs23022026
2026-05-12,exclude,GSPL,Gujarat State Petronet Ltd.,ind_prs04052026
2026-05-12,include,CIEINDIA,CIE Automotive India Ltd.,ind_prs04052026
2026-07-17,exclude,JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,ind_prs13072026_1
2026-07-17,include,PFOCUS,Prime Focus Ltd.,ind_prs13072026_1
2026-09-30,exclude,3MINDIA,3M India Ltd.,ind_prs10082026
2026-09-30,exclude,ABFRL,Aditya Birla Fashion and Retail Ltd.,ind_prs10082026
2026-09-30,exclude,ABLBL,Aditya Birla Lifestyle Brands Ltd.,ind_prs10082026
2026-09-30,exclude,BAYERCROP,Bayer Cropscience Ltd.,ind_prs10082026
2026-09-30,exclude,BIKAJI,Bikaji Foods International Ltd.,ind_prs10082026
2026-09-30,exclude,BLUEDART,Blue Dart Express Ltd.,ind_prs10082026
2026-09-30,exclude,BLUEJET,Blue Jet Healthcare Ltd.,ind_prs10082026
2026-09-30,exclude,BBTC,Bombay Burmah Trading Corporation Ltd.,ind_prs10082026
2026-09-30,exclude,MAPMYINDIA,C.E. Info Systems Ltd.,ind_prs10082026
2026-09-30,exclude,CHALET,Chalet Hotels Ltd.,ind_prs10082026
2026-09-30,exclude,DCMSHRIRAM,DCM Shriram Ltd.,ind_prs10082026
2026-09-30,exclude,ERIS,Eris Lifesciences Ltd.,ind_prs10082026
2026-09-30,exclude,GODIGIT,Go Digit General Insurance Ltd.,ind_prs10082026
2026-09-30,exclude,INDGN,Indegene Ltd.,ind_prs10082026
2026-09-30,exclude,JSWDULUX,JSW Dulux Ltd.,ind_prs10082026
2026-09-30,exclude,JUBLPHARMA,Jubilant Pharmova Ltd.,ind_prs10082026
2026-09-30,exclude,LATENTVIEW,Latent View Analytics Ltd.,ind_prs10082026
2026-09-30,exclude,THELEELA,Leela Palaces Hotels & Resorts Ltd.,ind_prs10082026
2026-09-30,exclude,NEWGEN,Newgen Software Technologies Ltd.,ind_prs10082026
2026-09-30,exclude,NIVABUPA,Niva Bupa Health Insurance Company Ltd.,ind_prs10082026
2026-09-30,exclude,PFIZER,Pfizer Ltd.,ind_prs10082026
2026-09-30,exclude,SAPPHIRE,Sapphire Foods India Ltd.,ind_prs10082026
2026-09-30,exclude,SAREGAMA,Saregama India Ltd,ind_prs10082026
2026-09-30,exclude,SBFC,SBFC Finance Ltd.,ind_prs10082026
2026-09-30,exclude,SONATSOFTW,Sonata Software Ltd.,ind_prs10082026
2026-09-30,exclude,SPLPETRO,Supreme Petrochem Ltd.,ind_prs10082026
2026-09-30,exclude,TRAVELFOOD,Travel Food Services Ltd.,ind_prs10082026
2026-09-30,include,AETHER,Aether Industries Ltd.,ind_prs10082026
2026-09-30,include,AVANTIFEED,Avanti Feeds Ltd.,ind_prs10082026
2026-09-30,include,AZAD,Azad Engineering Ltd.,ind_prs10082026
2026-09-30,include,BHARATCOAL,Bharat Coking Coal Ltd.,ind_prs10082026
2026-09-30,include,BBOX,Black Box Ltd.,ind_prs10082026
2026-09-30,include,CMPDI,Central Mine Planning & Design Institute Ltd.,ind_prs10082026
2026-09-30,include,CLEANMAX,Clean Max Enviro Energy Solutions Ltd.,ind_prs10082026
2026-09-30,include,CUPID,Cupid Ltd.,ind_prs10082026
2026-09-30,include,FRACTAL,Fractal Analytics Ltd.,ind_prs10082026
2026-09-30,include,INOXINDIA,INOX India Ltd.,ind_prs10082026
2026-09-30,include,KIRLOSBROS,Kirloskar Brothers Ltd.,ind_prs10082026
2026-09-30,include,KSB,KSB Ltd.,ind_prs10082026
2026-09-30,include,MTARTECH,MTAR Technologies Ltd.,ind_prs10082026
2026-09-30,include,PRIVISCL,Privi Speciality Chemicals Ltd.,ind_prs10082026
2026-09-30,include,RUBICON,Rubicon Research Ltd.,ind_prs10082026
2026-09-30,include,SANSERA,Sansera Engineering Ltd.,ind_prs10082026
2026-09-30,include,SHRIPISTON,SPR Auto Technologies Ltd.,ind_prs10082026
2026-09-30,include,STLTECH,Sterlite Technologies Ltd.,ind_prs10082026
2026-09-30,include,TDPOWERSYS,TD Power Systems Ltd.,ind_prs10082026
2026-09-30,include,THANGAMAYL,Thangamayil Jewellery Ltd.,ind_prs10082026
2026-09-30,include,VAML,Vedanta Aluminium Metal Ltd.,ind_prs10082026
2026-09-30,include,VISL,Vedanta Iron and Steel Ltd.,ind_prs10082026
2026-09-30,include,VOGL,Vedanta Oil and Gas Ltd.,ind_prs10082026
2026-09-30,include,VEDPOWER,Vedanta Power Ltd.,ind_prs10082026
